SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,MapType,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,Flow Condition (S),Flow Condition (T),Flow Conf (S),Flow Conf (T),Context Condition (S),Context Condition (T),Context Conf (S),Context Conf (T),Conversion Conf (S),Conversion Conf (T)
Ecoinvent_3.7,"1,3-dioxolan-2-one",5b7d620e-2238-5ec9-888a-6999218b6974,water/unspecified,kg,,,CAS,EFv.3.0,"1,3-dioxolan-2-one",888f2557-42ee-4fb5-a6e2-12292c6a7a13,emission/water/unspecified,kg,,,29/09/2021,,,,,,=,A,A,,
Ecoinvent_3.7,"1,4-butanediol",d21da01e-f96f-4db5-9746-7b70db8a1f2c,"air/low population density, long-term",kg,,,NO_FLOW_MATCH_MANUAL,,,,,,,,,,,,,,,,,,
Ecoinvent_3.7,"1,4-butanediol",90653a29-2f53-4b1b-88bd-9ae2fe64a8d6,air/lower stratosphere + upper troposphere,kg,,,NO_FLOW_MATCH_MANUAL,,,,,,,,,,,,,,,,,,
Ecoinvent_3.7,"1,4-butanediol",83bafcf1-2f2e-4a32-89a0-f1f16ca10626,air/non-urban air or from high stacks,kg,,,NO_FLOW_MATCH_MANUAL,,,,,,,,,,,,,,,,,,
Ecoinvent_3.7,"1,4-butanediol",09db39be-d9a6-4fc3-8d25-1f80b23e9131,air/unspecified,kg,,,NO_FLOW_MATCH_MANUAL,,,,,,,,,,,,,,,,,,
Ecoinvent_3.7,"1,4-butanediol",38a622c6-f086-4763-a952-7c6b3b1c42ba,air/urban air close to ground,kg,,,NO_FLOW_MATCH_MANUAL,,,,,,,,,,,,,,,,,,
Ecoinvent_3.7,"1,4-butanediol",c5de5e4d-85cf-4102-9ff1-5248d8928ba1,water/ground-,kg,,,NO_FLOW_MATCH_MANUAL,,,,,,,,,,,,,,,,,,
Ecoinvent_3.7,"1,4-butanediol",564dde7f-e713-4baf-84aa-7a11ffa7e2cd,"water/ground-, long-term",kg,,,NO_FLOW_MATCH_MANUAL,,,,,,,,,,,,,,,,,,
Ecoinvent_3.7,"1,4-butanediol",aae8aac7-b81d-41e4-b356-912b369d1c55,water/ocean,kg,,,NO_FLOW_MATCH_MANUAL,,,,,,,,,,,,,,,,,,
Ecoinvent_3.7,"1,4-butanediol",d6911d36-3fec-41fe-8ef9-540f6543a240,water/surface water,kg,,,NO_FLOW_MATCH_MANUAL,,,,,,,,,,,,,,,,,,
