SimaPro 9.5.0.1	Inventory	Date:	31/07/2023	Time:	11:54:34
Project	Doris_Thesis


Calculation: 	Compare
Results: 	Inventory
Product 1: 	1 kg white rice cooked, at household {CH} (of project Doris_Thesis)
Product 2: 	1 kg white rice cooked, at household {CN} (of project Doris_Thesis)
Product 3: 	1 kg white rice cooked, at household {IN} (of project Doris_Thesis)
Method: 	ReCiPe 2016 Midpoint (H) V1.08 / World (2010) H
Indicator: 	Inventory
Compartment: 	All compartments
Per sub-compartment: 	Yes
Default units: 	Yes
Exclude infrastructure processes: 	No
Exclude long-term emissions: 	No
Sorted on item: 	Substance
Sort order: 	Ascending

No	Substance	Compartment	Subcompartment	Unit	white rice cooked, at household {CH}	white rice cooked, at household {CN}	white rice cooked, at household {IN}
1	1-Butanol	Air	high. pop.	kg	2.8372857E-9	9.1450018E-9	9.1459241E-9
2	1-Butanol	Water	river	kg	2.3446533E-8	5.7602393E-8	5.7076321E-8
3	1-Pentanol	Air	high. pop.	kg	1.9755629E-9	7.203073E-9	7.2036617E-9
4	1-Pentanol	Water	river	kg	4.7414053E-9	1.7287573E-8	1.7288986E-8
5	1-Pentene	Air	high. pop.	kg	2.5964964E-8	5.4472231E-9	5.458497E-9
6	1-Pentene	Water	river	kg	3.5830061E-9	1.306395E-8	1.3065017E-8
7	1-Propanol	Air	high. pop.	kg	3.3005746E-9	1.1011878E-8	1.0710244E-8
8	1-Propanol	Air	low. pop.	kg	3.2979961E-15	2.4511684E-15	2.377153E-15
9	1-Propanol	Water	river	kg	1.2352705E-9	4.4426026E-9	4.4453164E-9
10	1,3-Dioxolan-2-one	Water		kg	2.0859819E-8	1.2190638E-8	1.1382869E-8
11	1,4-Butanediol	Air	high. pop.	kg	6.7888532E-9	1.7019685E-8	1.7020922E-8
12	1,4-Butanediol	Water	river	kg	1.5614362E-8	3.9145276E-8	3.914812E-8
13	2-Aminopropanol	Air	high. pop.	kg	2.5256821E-8	9.2694266E-8	9.2694788E-8
14	2-Aminopropanol	Water	river	kg	6.0673582E-8	2.2267625E-7	2.226775E-7
15	2-Butene, 2-methyl-	Air	high. pop.	kg	3.0614024E-13	1.1143945E-12	1.1144814E-12
16	2-Butene, 2-methyl-	Water	river	kg	7.3474756E-13	2.6745868E-12	2.6747952E-12
17	2-Methyl-1-propanol	Air	high. pop.	kg	2.3616256E-9	8.5797527E-9	8.5814881E-9
18	2-Methyl-1-propanol	Water	river	kg	5.6678204E-9	2.0591112E-8	2.0595277E-8
19	2-Methyl-4-chlorophenoxyacetic acid	Air	low. pop.	kg	5.1634707E-16	2.0945797E-20	1.7460684E-20
20	2-Methyl-4-chlorophenoxyacetic acid	Water	groundwater	kg	5.1047409E-18	1.6938912E-20	1.5128539E-20
21	2-Methyl-4-chlorophenoxyacetic acid	Water	river	kg	1.0948501E-15	3.2920951E-20	2.6827317E-20
22	2-Methyl-4-chlorophenoxyacetic acid	Soil	agricultural	kg	4.7148889E-7	6.7738127E-13	5.895281E-13
23	2-Nitrobenzoic acid	Air	high. pop.	kg	8.3845514E-10	3.0315311E-9	3.0327738E-9
24	2-Propanol	Air		kg	1.3335205E-7	1.8275688E-7	1.7635313E-7
25	2-Propanol	Air	high. pop.	kg	9.7066821E-8	5.6836613E-8	5.0588838E-8
26	2-Propanol	Air	low. pop.	kg	5.226042E-11	3.8841492E-11	3.7668635E-11
27	2-Propanol	Water		kg	2.2565309E-9	3.0925399E-9	2.9841783E-9
28	2-Propanol	Water	river	kg	5.3287882E-9	1.390387E-8	1.3944907E-8
29	2,4-D	Air	low. pop.	kg	1.1462348E-9	6.842552E-10	8.8003698E-10
30	2,4-D	Water		kg	2.2595206E-12	1.4575778E-12	1.713089E-12
31	2,4-D	Water	groundwater	kg	2.1773267E-10	1.4133329E-10	1.6567178E-10
32	2,4-D	Soil	agricultural	kg	1.7529221E-5	6.4548592E-5	6.4554215E-5
33	2,4-D	Soil	forestry	kg	3.8362253E-11	2.4886752E-11	2.9179691E-11
34	2,4-D ester	Air	low. pop.	kg	1.758535E-16	2.4986131E-20	2.4221253E-20
35	2,4-D ester	Water	groundwater	kg	9.0172139E-16	2.2791153E-20	1.773328E-20
36	2,4-D ester	Water	river	kg	3.7025456E-18	9.2893009E-23	7.211751E-23
37	2,4-D ester	Soil	agricultural	kg	2.9053595E-14	7.5154381E-19	5.8876395E-19
38	2,4-D, dimethylamine salt	Air	low. pop.	kg	1.8247745E-16	5.9143323E-21	4.9048344E-21
39	2,4-D, dimethylamine salt	Water	groundwater	kg	9.5314468E-16	3.2680268E-20	2.7426578E-20
40	2,4-D, dimethylamine salt	Water	river	kg	3.9153328E-18	1.3401084E-22	1.1242719E-22
41	2,4-D, dimethylamine salt	Soil	agricultural	kg	3.0649443E-14	1.0500968E-18	8.8115006E-19
42	4-Methyl-2-pentanol	Water	river	kg	5.4058929E-12	3.0104815E-12	1.9465792E-12
43	4-Methyl-2-pentanone	Air	high. pop.	kg	1.527831E-10	8.5082366E-11	5.501323E-11
44	4-Methyl-2-pentanone	Air	low. pop.	kg	1.1421165E-12	8.4885479E-13	8.2322279E-13
45	4-Methyl-2-pentanone	Water		kg	3.3832606E-15	2.9245476E-15	2.6058693E-15
46	4-Methyl-2-pentanone	Water	river	kg	1.0481433E-9	5.8369355E-10	3.774092E-10
47	Abamectin	Air	low. pop.	kg	2.1589759E-12	1.3518662E-12	1.6091875E-12
48	Abamectin	Water		kg	4.020162E-15	2.5172681E-15	2.9964182E-15
49	Abamectin	Water	groundwater	kg	1.6378438E-13	1.0255537E-13	1.220763E-13
50	Abamectin	Soil	agricultural	kg	1.920579E-11	1.2169821E-11	1.9479402E-11
51	Abamectin	Soil	forestry	kg	6.9980597E-14	4.3819112E-14	5.2159872E-14
52	Acenaphthene	Air		kg	1.2201128E-8	1.4737329E-8	9.5825229E-9
53	Acenaphthene	Air	low. pop.	kg	9.7380539E-12	2.3431801E-11	1.2484798E-11
54	Acenaphthene	Water	ocean	kg	1.0276713E-10	5.8090316E-11	5.0439521E-11
55	Acenaphthene	Water	river	kg	7.9266064E-9	1.0244582E-8	6.0979785E-9
56	Acenaphthylene	Air		kg	3.8275429E-10	1.1640997E-12	7.7397107E-13
57	Acenaphthylene	Water	ocean	kg	5.0900415E-11	2.8772052E-11	2.4982624E-11
58	Acenaphthylene	Water	river	kg	1.2712153E-10	9.7271136E-11	7.4580464E-11
59	Acephate	Air	low. pop.	kg	1.9156374E-9	1.2767674E-9	1.4852976E-9
60	Acephate	Water		kg	2.4260878E-12	1.6194135E-12	1.8762141E-12
61	Acephate	Water	groundwater	kg	2.3845794E-11	1.5007472E-11	1.7825001E-11
62	Acephate	Soil	agricultural	kg	6.6628363E-9	4.4253966E-9	5.5472703E-9
63	Acephate	Soil	forestry	kg	8.756519E-11	5.6918156E-11	6.6681037E-11
64	Acetaldehyde	Air		kg	1.4359704E-6	3.0179632E-6	1.0620495E-6
65	Acetaldehyde	Air	high. pop.	kg	1.0484235E-6	5.7349706E-7	0.00016403426
66	Acetaldehyde	Air	low. pop.	kg	1.8350007E-7	7.3286201E-7	2.2362656E-7
67	Acetaldehyde	Water	river	kg	4.2266399E-7	1.4303216E-6	1.4286095E-6
68	Acetamide	Air	low. pop.	kg	4.9747336E-12	1.8969195E-12	4.1483819E-12
69	Acetamide	Soil	agricultural	kg	6.1756599E-10	6.1459202E-10	6.1459061E-10
70	Acetamiprid	Air	low. pop.	kg	4.1232219E-11	2.5818002E-11	3.0732337E-11
71	Acetamiprid	Water		kg	1.69167E-14	1.0592576E-14	1.2608822E-14
72	Acetamiprid	Water	groundwater	kg	2.2164559E-14	1.3878579E-14	1.6520301E-14
73	Acetamiprid	Soil	agricultural	kg	4.0196728E-11	2.5985401E-11	5.9236701E-11
74	Acetamiprid	Soil	forestry	kg	3.7711301E-12	2.3613341E-12	2.8108029E-12
75	Acetic acid	Air		kg	1.1824283E-6	1.5383389E-6	1.5134978E-6
76	Acetic acid	Air	high. pop.	kg	6.8520492E-7	1.1548791E-6	1.235781E-6
77	Acetic acid	Air	low. pop.	kg	3.1395613E-7	1.6471712E-7	1.5173669E-7
78	Acetic acid	Water	river	kg	3.1949427E-6	1.1190684E-5	1.1170688E-5
